NodeName,NeId,Object,Time,Interval,Direction,NeAlias,NeType,Position,ES,SES,BBE,UAS,IdLogNum,PowerTLTMmin,PowerTLTMmax,SecondsTLTS1,PowerRLTMmin,PowerRLTMmax,SecondsRLTS1,SecondsRLTS2
SOEM-M,9309,RAU,2013-01-01 11:30:00,15,Near End,803B_04062_00459_6879.262,1+0,-,,,,,0,,,,-50.8,-50.2,0.0,0.0
SOEM-M,9309,RAU,2013-01-01 11:45:00,15,Near End,803B_04062_00459_6879.262,1+0,-,,,,,0,,,,-50.8,-50.2,0.0,0.0
SOEM-M,9309,RAU,2013-01-01 11:45:00,15,Near End,803B_04062_00459_6879.262,1+0,-,,,,,0,12.0,13.0,0.0,,,,
SOEM-M,9309,HC,2013-01-01 11:45:00,15,Near End,803B_04062_00459_6879.262,1+0,-,0.0,0.0,0.0,0.0,0,,,,,,,
SOEM-M,9309,HC,2013-01-01 12:00:00,15,Near End,803B_04062_00459_6879.262,1+0,-,0.0,0.0,0.0,0.0,0,,,,,,,
SOEM-M,9309,RAU,2013-01-01 12:00:00,15,Near End,803B_04062_00459_6879.262,1+0,-,,,,,0,,,,-50.8,-50.2,0.0,0.0
SOEM-M,9309,RAU,2013-01-01 12:00:00,15,Near End,803B_04062_00459_6879.262,1+0,-,,,,,0,12.0,13.0,0.0,,,,
SOEM-M,9309,HC,2013-01-01 12:15:00,15,Near End,803B_04062_00459_6879.262,1+0,-,0.0,0.0,0.0,0.0,0,,,,,,,
SOEM-M,9309,RAU,2013-01-01 12:15:00,15,Near End,803B_04062_00459_6879.262,1+0,-,,,,,0,12.0,13.0,0.0,,,,
SOEM-M,9309,RAU,2013-01-01 12:15:00,15,Near End,803B_04062_00459_6879.262,1+0,-,,,,,0,,,,-50.8,-50.2,0.0,0.0
SOEM-M,9309,HC,2013-01-01 12:30:00,15,Near End,803B_04062_00459_6879.262,1+0,-,0.0,0.0,0.0,0.0,0,,,,,,,
SOEM-M,9309,RAU,2013-01-01 12:30:00,15,Near End,803B_04062_00459_6879.262,1+0,-,,,,,0,12.0,13.0,0.0,,,,
SOEM-M,9309,RAU,2013-01-01 12:30:00,15,Near End,803B_04062_00459_6879.262,1+0,-,,,,,0,,,,-50.8,-50.2,0.0,0.0
SOEM-M,9309,HC,2013-01-01 12:45:00,15,Near End,803B_04062_00459_6879.262,1+0,-,0.0,0.0,0.0,0.0,0,,,,,,,
SOEM-M,9309,RAU,2013-01-01 12:45:00,15,Near End,803B_04062_00459_6879.262,1+0,-,,,,,0,,,,-50.8,-50.2,0.0,0.0
SOEM-M,9309,RAU,2013-01-01 12:45:00,15,Near End,803B_04062_00459_6879.262,1+0,-,,,,,0,12.0,14.0,0.0,,,,
SOEM-M,9309,RAU,2013-01-01 13:00:00,15,Near End,803B_04062_00459_6879.262,1+0,-,,,,,0,,,,-50.8,-50.2,0.0,0.0
SOEM-M,9309,HC,2013-01-01 13:00:00,15,Near End,803B_04062_00459_6879.262,1+0,-,0.0,0.0,0.0,0.0,0,,,,,,,
SOEM-M,9309,RAU,2013-01-01 13:00:00,15,Near End,803B_04062_00459_6879.262,1+0,-,,,,,0,12.0,13.0,0.0,,,,
SOEM-M,9309,HC,2013-01-01 13:15:00,15,Near End,803B_04062_00459_6879.262,1+0,-,0.0,0.0,0.0,0.0,0,,,,,,,
SOEM-M,9309,RAU,2013-01-01 13:15:00,15,Near End,803B_04062_00459_6879.262,1+0,-,,,,,0,,,,-51.1,-50.2,0.0,0.0
SOEM-M,9309,RAU,2013-01-01 13:15:00,15,Near End,803B_04062_00459_6879.262,1+0,-,,,,,0,12.0,13.0,0.0,,,,
SOEM-M,9309,RAU,2013-01-01 13:30:00,15,Near End,803B_04062_00459_6879.262,1+0,-,,,,,0,12.0,13.0,0.0,,,,
SOEM-M,9309,HC,2013-01-01 13:30:00,15,Near End,803B_04062_00459_6879.262,1+0,-,0.0,0.0,0.0,0.0,0,,,,,,,
SOEM-M,9309,RAU,2013-01-01 13:30:00,15,Near End,803B_04062_00459_6879.262,1+0,-,,,,,0,,,,-50.8,-50.2,0.0,0.0
SOEM-M,9309,RAU,2013-01-01 13:45:00,15,Near End,803B_04062_00459_6879.262,1+0,-,,,,,0,12.0,13.0,0.0,,,,
SOEM-M,9309,HC,2013-01-01 13:45:00,15,Near End,803B_04062_00459_6879.262,1+0,-,0.0,0.0,0.0,0.0,0,,,,,,,
SOEM-M,9309,RAU,2013-01-01 13:45:00,15,Near End,803B_04062_00459_6879.262,1+0,-,,,,,0,,,,-50.8,-50.2,0.0,0.0
SOEM-M,9309,RAU,2013-01-01 14:00:00,15,Near End,803B_04062_00459_6879.262,1+0,-,,,,,0,12.0,13.0,0.0,,,,
SOEM-M,9309,HC,2013-01-01 14:00:00,15,Near End,803B_04062_00459_6879.262,1+0,-,0.0,0.0,0.0,0.0,0,,,,,,,
SOEM-M,9309,RAU,2013-01-01 14:00:00,15,Near End,803B_04062_00459_6879.262,1+0,-,,,,,0,,,,-50.8,-50.2,0.0,0.0
SOEM-M,9309,RAU,2013-01-01 14:15:00,15,Near End,803B_04062_00459_6879.262,1+0,-,,,,,0,12.0,13.0,0.0,,,,
