NodeName,NeId,Object,Time,Interval,Direction,NeAlias,NeType,Position,PowerTLTMmin,PowerTLTMmax,SecondsTLTS1,IdLogNum,PowerRLTMmin,PowerRLTMmax,SecondsRLTS1,SecondsRLTS2,ES,SES,BBE,UAS
SOEM-M,9388,RAU,2013-01-01 04:15:00,15,Near End,a459_00459_04062_6879.341,1+0,-,,,,0,-50.8,-50.2,0.0,0.0,,,,
SOEM-M,9388,HC,2013-01-01 04:30:00,15,Near End,a459_00459_04062_6879.341,1+0,-,,,,0,,,,,0.0,0.0,0.0,0.0
SOEM-M,9388,RAU,2013-01-01 04:30:00,15,Near End,a459_00459_04062_6879.341,1+0,-,,,,0,-50.8,-50.2,0.0,0.0,,,,
SOEM-M,9388,RAU,2013-01-01 04:30:00,15,Near End,a459_00459_04062_6879.341,1+0,-,8.0,12.0,0.0,0,,,,,,,,
SOEM-M,9388,HC,2013-01-01 04:45:00,15,Near End,a459_00459_04062_6879.341,1+0,-,,,,0,,,,,0.0,0.0,0.0,0.0
SOEM-M,9388,RAU,2013-01-01 04:45:00,15,Near End,a459_00459_04062_6879.341,1+0,-,,,,0,-50.8,-50.2,0.0,0.0,,,,
SOEM-M,9388,RAU,2013-01-01 04:45:00,15,Near End,a459_00459_04062_6879.341,1+0,-,8.0,16.0,38.0,0,,,,,,,,
SOEM-M,9388,RAU,2013-01-01 05:00:00,15,Near End,a459_00459_04062_6879.341,1+0,-,,,,0,-51.1,-50.2,0.0,0.0,,,,
SOEM-M,9388,HC,2013-01-01 05:00:00,15,Near End,a459_00459_04062_6879.341,1+0,-,,,,0,,,,,3.0,1.0,421.0,0.0
SOEM-M,9388,RAU,2013-01-01 05:00:00,15,Near End,a459_00459_04062_6879.341,1+0,-,11.0,16.0,3.0,0,,,,,,,,
SOEM-M,9388,RAU,2013-01-01 05:15:00,15,Near End,a459_00459_04062_6879.341,1+0,-,9.0,14.0,0.0,0,,,,,,,,
SOEM-M,9388,RAU,2013-01-01 05:15:00,15,Near End,a459_00459_04062_6879.341,1+0,-,,,,0,-50.8,-50.2,0.0,0.0,,,,
SOEM-M,9388,HC,2013-01-01 05:15:00,15,Near End,a459_00459_04062_6879.341,1+0,-,,,,0,,,,,3.0,1.0,214.0,0.0
SOEM-M,9388,RAU,2013-01-01 05:30:00,15,Near End,a459_00459_04062_6879.341,1+0,-,,,,0,-50.8,-50.2,0.0,0.0,,,,
