NodeName,NeId,Object,Time,Interval,Direction,NeAlias,NeType,Position,PowerRLTMmin,PowerRLTMmax,SecondsRLTS1,SecondsRLTS2,IdLogNum,ES,SES,BBE,UAS,PowerTLTMmin,PowerTLTMmax,SecondsTLTS1
SOEM-M,5062,HC,2013-01-01 09:45:00,15,Near End,b247_00747_00032_5377.11,1+0,-,,,,,0,0.0,0.0,0.0,0.0,,,
SOEM-M,5062,RAU,2013-01-01 09:45:00,15,Near End,b247_00747_00032_5377.11,1+0,-,-50.8,-50.2,0.0,0.0,0,,,,,,,
SOEM-M,5062,HC,2013-01-01 10:00:00,15,Near End,b247_00747_00032_5377.11,1+0,-,,,,,0,0.0,0.0,0.0,0.0,,,
SOEM-M,5062,RAU,2013-01-01 10:00:00,15,Near End,b247_00747_00032_5377.11,1+0,-,,,,,0,,,,,2.0,3.0,0.0
SOEM-M,5062,RAU,2013-01-01 10:00:00,15,Near End,b247_00747_00032_5377.11,1+0,-,-50.8,-50.2,0.0,0.0,0,,,,,,,
SOEM-M,5062,RAU,2013-01-01 10:15:00,15,Near End,b247_00747_00032_5377.11,1+0,-,-50.8,-50.2,0.0,0.0,0,,,,,,,
SOEM-M,5062,HC,2013-01-01 10:15:00,15,Near End,b247_00747_00032_5377.11,1+0,-,,,,,0,0.0,0.0,0.0,0.0,,,
SOEM-M,5062,RAU,2013-01-01 10:15:00,15,Near End,b247_00747_00032_5377.11,1+0,-,,,,,0,,,,,3.0,3.0,0.0
SOEM-M,5062,RAU,2013-01-01 10:30:00,15,Near End,b247_00747_00032_5377.11,1+0,-,,,,,0,,,,,3.0,3.0,0.0
SOEM-M,5062,RAU,2013-01-01 10:30:00,15,Near End,b247_00747_00032_5377.11,1+0,-,-50.8,-50.2,0.0,0.0,0,,,,,,,
SOEM-M,5062,HC,2013-01-01 10:30:00,15,Near End,b247_00747_00032_5377.11,1+0,-,,,,,0,0.0,0.0,0.0,0.0,,,
SOEM-M,5062,RAU,2013-01-01 10:45:00,15,Near End,b247_00747_00032_5377.11,1+0,-,,,,,0,,,,,3.0,3.0,0.0
SOEM-M,5062,RAU,2013-01-01 10:45:00,15,Near End,b247_00747_00032_5377.11,1+0,-,-50.8,-50.2,0.0,0.0,0,,,,,,,
SOEM-M,5062,HC,2013-01-01 10:45:00,15,Near End,b247_00747_00032_5377.11,1+0,-,,,,,0,0.0,0.0,0.0,0.0,,,
SOEM-M,5062,HC,2013-01-01 11:00:00,15,Near End,b247_00747_00032_5377.11,1+0,-,,,,,0,0.0,0.0,0.0,0.0,,,
SOEM-M,5062,RAU,2013-01-01 11:00:00,15,Near End,b247_00747_00032_5377.11,1+0,-,,,,,0,,,,,3.0,3.0,0.0
SOEM-M,5062,RAU,2013-01-01 11:00:00,15,Near End,b247_00747_00032_5377.11,1+0,-,-50.8,-50.2,0.0,0.0,0,,,,,,,
SOEM-M,5062,RAU,2013-01-01 11:15:00,15,Near End,b247_00747_00032_5377.11,1+0,-,-50.8,-50.2,0.0,0.0,0,,,,,,,
SOEM-M,5062,RAU,2013-01-01 11:15:00,15,Near End,b247_00747_00032_5377.11,1+0,-,,,,,0,,,,,3.0,3.0,0.0
SOEM-M,5062,HC,2013-01-01 11:15:00,15,Near End,b247_00747_00032_5377.11,1+0,-,,,,,0,0.0,0.0,0.0,0.0,,,
SOEM-M,5062,RAU,2013-01-01 11:30:00,15,Near End,b247_00747_00032_5377.11,1+0,-,,,,,0,,,,,3.0,3.0,0.0
SOEM-M,5062,HC,2013-01-01 11:30:00,15,Near End,b247_00747_00032_5377.11,1+0,-,,,,,0,0.0,0.0,0.0,0.0,,,
SOEM-M,5062,RAU,2013-01-01 11:30:00,15,Near End,b247_00747_00032_5377.11,1+0,-,-50.8,-50.2,0.0,0.0,0,,,,,,,
SOEM-M,5062,HC,2013-01-01 11:45:00,15,Near End,b247_00747_00032_5377.11,1+0,-,,,,,0,0.0,0.0,0.0,0.0,,,
SOEM-M,5062,RAU,2013-01-01 11:45:00,15,Near End,b247_00747_00032_5377.11,1+0,-,,,,,0,,,,,3.0,3.0,0.0
SOEM-M,5062,RAU,2013-01-01 11:45:00,15,Near End,b247_00747_00032_5377.11,1+0,-,-50.8,-50.2,0.0,0.0,0,,,,,,,
SOEM-M,5062,HC,2013-01-01 12:00:00,15,Near End,b247_00747_00032_5377.11,1+0,-,,,,,0,0.0,0.0,0.0,0.0,,,
SOEM-M,5062,RAU,2013-01-01 12:00:00,15,Near End,b247_00747_00032_5377.11,1+0,-,,,,,0,,,,,3.0,3.0,0.0
SOEM-M,5062,RAU,2013-01-01 12:00:00,15,Near End,b247_00747_00032_5377.11,1+0,-,-50.8,-50.2,0.0,0.0,0,,,,,,,
SOEM-M,5062,RAU,2013-01-01 12:15:00,15,Near End,b247_00747_00032_5377.11,1+0,-,-50.8,-50.2,0.0,0.0,0,,,,,,,
SOEM-M,5062,HC,2013-01-01 12:15:00,15,Near End,b247_00747_00032_5377.11,1+0,-,,,,,0,0.0,0.0,0.0,0.0,,,
SOEM-M,5062,RAU,2013-01-01 12:15:00,15,Near End,b247_00747_00032_5377.11,1+0,-,,,,,0,,,,,3.0,4.0,0.0
SOEM-M,5062,RAU,2013-01-01 12:30:00,15,Near End,b247_00747_00032_5377.11,1+0,-,-50.8,-50.2,0.0,0.0,0,,,,,,,
SOEM-M,5062,HC,2013-01-01 12:30:00,15,Near End,b247_00747_00032_5377.11,1+0,-,,,,,0,0.0,0.0,0.0,0.0,,,
SOEM-M,5062,RAU,2013-01-01 12:30:00,15,Near End,b247_00747_00032_5377.11,1+0,-,,,,,0,,,,,3.0,4.0,0.0
SOEM-M,5062,RAU,2013-01-01 12:45:00,15,Near End,b247_00747_00032_5377.11,1+0,-,-50.8,-50.2,0.0,0.0,0,,,,,,,
SOEM-M,5062,HC,2013-01-01 12:45:00,15,Near End,b247_00747_00032_5377.11,1+0,-,,,,,0,0.0,0.0,0.0,0.0,,,
SOEM-M,5062,RAU,2013-01-01 12:45:00,15,Near End,b247_00747_00032_5377.11,1+0,-,,,,,0,,,,,3.0,3.0,0.0
SOEM-M,5062,RAU,2013-01-01 13:00:00,15,Near End,b247_00747_00032_5377.11,1+0,-,-50.8,-50.2,0.0,0.0,0,,,,,,,
SOEM-M,5062,RAU,2013-01-01 13:00:00,15,Near End,b247_00747_00032_5377.11,1+0,-,,,,,0,,,,,3.0,4.0,0.0
SOEM-M,5062,HC,2013-01-01 13:00:00,15,Near End,b247_00747_00032_5377.11,1+0,-,,,,,0,0.0,0.0,0.0,0.0,,,
SOEM-M,5062,RAU,2013-01-01 13:15:00,15,Near End,b247_00747_00032_5377.11,1+0,-,-50.8,-50.2,0.0,0.0,0,,,,,,,
SOEM-M,5062,HC,2013-01-01 13:15:00,15,Near End,b247_00747_00032_5377.11,1+0,-,,,,,0,0.0,0.0,0.0,0.0,,,
SOEM-M,5062,RAU,2013-01-01 13:15:00,15,Near End,b247_00747_00032_5377.11,1+0,-,,,,,0,,,,,3.0,4.0,0.0
SOEM-M,5062,RAU,2013-01-01 13:30:00,15,Near End,b247_00747_00032_5377.11,1+0,-,,,,,0,,,,,3.0,4.0,0.0
SOEM-M,5062,RAU,2013-01-01 13:30:00,15,Near End,b247_00747_00032_5377.11,1+0,-,-50.8,-50.2,0.0,0.0,0,,,,,,,
SOEM-M,5062,HC,2013-01-01 13:30:00,15,Near End,b247_00747_00032_5377.11,1+0,-,,,,,0,0.0,0.0,0.0,0.0,,,
SOEM-M,5062,RAU,2013-01-01 13:45:00,15,Near End,b247_00747_00032_5377.11,1+0,-,,,,,0,,,,,3.0,4.0,0.0
SOEM-M,5062,HC,2013-01-01 13:45:00,15,Near End,b247_00747_00032_5377.11,1+0,-,,,,,0,0.0,0.0,0.0,0.0,,,
SOEM-M,5062,RAU,2013-01-01 13:45:00,15,Near End,b247_00747_00032_5377.11,1+0,-,-50.8,-50.2,0.0,0.0,0,,,,,,,
SOEM-M,5062,RAU,2013-01-01 14:00:00,15,Near End,b247_00747_00032_5377.11,1+0,-,,,,,0,,,,,3.0,4.0,0.0
SOEM-M,5062,HC,2013-01-01 14:00:00,15,Near End,b247_00747_00032_5377.11,1+0,-,,,,,0,0.0,0.0,0.0,0.0,,,
SOEM-M,5062,RAU,2013-01-01 14:00:00,15,Near End,b247_00747_00032_5377.11,1+0,-,-50.8,-50.2,0.0,0.0,0,,,,,,,
SOEM-M,5062,HC,2013-01-01 14:15:00,15,Near End,b247_00747_00032_5377.11,1+0,-,,,,,0,0.0,0.0,0.0,0.0,,,
SOEM-M,5062,RAU,2013-01-01 14:15:00,15,Near End,b247_00747_00032_5377.11,1+0,-,-50.8,-50.2,0.0,0.0,0,,,,,,,
SOEM-M,5062,RAU,2013-01-01 14:15:00,15,Near End,b247_00747_00032_5377.11,1+0,-,,,,,0,,,,,3.0,4.0,0.0
