NodeName,NeId,Object,Time,Interval,Direction,NeAlias,NeType,Position,PowerTLTMmin,PowerTLTMmax,SecondsTLTS1,IdLogNum,PowerRLTMmin,PowerRLTMmax,SecondsRLTS1,SecondsRLTS2,ES,SES,BBE,UAS
SOEM-M,5063,RAU,2013-01-01 11:15:00,15,Near End,c247_00747_00032_7049.12,1+0,-,4.0,4.0,0.0,0,,,,,,,,
SOEM-M,5063,RAU,2013-01-01 11:15:00,15,Near End,c247_00747_00032_7049.12,1+0,-,,,,0,-50.8,-50.2,0.0,0.0,,,,
SOEM-M,5063,HC,2013-01-01 11:15:00,15,Near End,c247_00747_00032_7049.12,1+0,-,,,,0,,,,,0.0,0.0,0.0,0.0
SOEM-M,5063,HC,2013-01-01 11:30:00,15,Near End,c247_00747_00032_7049.12,1+0,-,,,,0,,,,,0.0,0.0,0.0,0.0
SOEM-M,5063,RAU,2013-01-01 11:30:00,15,Near End,c247_00747_00032_7049.12,1+0,-,4.0,4.0,0.0,0,,,,,,,,
SOEM-M,5063,RAU,2013-01-01 11:30:00,15,Near End,c247_00747_00032_7049.12,1+0,-,,,,0,-50.8,-50.2,0.0,0.0,,,,
SOEM-M,5063,HC,2013-01-01 11:45:00,15,Near End,c247_00747_00032_7049.12,1+0,-,,,,0,,,,,0.0,0.0,0.0,0.0
SOEM-M,5063,RAU,2013-01-01 11:45:00,15,Near End,c247_00747_00032_7049.12,1+0,-,4.0,4.0,0.0,0,,,,,,,,
SOEM-M,5063,RAU,2013-01-01 11:45:00,15,Near End,c247_00747_00032_7049.12,1+0,-,,,,0,-50.8,-50.2,0.0,0.0,,,,
SOEM-M,5063,RAU,2013-01-01 12:00:00,15,Near End,c247_00747_00032_7049.12,1+0,-,4.0,4.0,0.0,0,,,,,,,,
SOEM-M,5063,RAU,2013-01-01 12:00:00,15,Near End,c247_00747_00032_7049.12,1+0,-,,,,0,-50.8,-50.2,0.0,0.0,,,,
SOEM-M,5063,HC,2013-01-01 12:00:00,15,Near End,c247_00747_00032_7049.12,1+0,-,,,,0,,,,,0.0,0.0,0.0,0.0
SOEM-M,5063,RAU,2013-01-01 12:15:00,15,Near End,c247_00747_00032_7049.12,1+0,-,,,,0,-50.8,-50.2,0.0,0.0,,,,
SOEM-M,5063,HC,2013-01-01 12:15:00,15,Near End,c247_00747_00032_7049.12,1+0,-,,,,0,,,,,0.0,0.0,0.0,0.0
SOEM-M,5063,RAU,2013-01-01 12:15:00,15,Near End,c247_00747_00032_7049.12,1+0,-,4.0,4.0,0.0,0,,,,,,,,
SOEM-M,5063,HC,2013-01-01 12:30:00,15,Near End,c247_00747_00032_7049.12,1+0,-,,,,0,,,,,0.0,0.0,0.0,0.0
SOEM-M,5063,RAU,2013-01-01 12:30:00,15,Near End,c247_00747_00032_7049.12,1+0,-,4.0,4.0,0.0,0,,,,,,,,
SOEM-M,5063,RAU,2013-01-01 12:30:00,15,Near End,c247_00747_00032_7049.12,1+0,-,,,,0,-50.8,-50.2,0.0,0.0,,,,
SOEM-M,5063,HC,2013-01-01 12:45:00,15,Near End,c247_00747_00032_7049.12,1+0,-,,,,0,,,,,0.0,0.0,0.0,0.0
SOEM-M,5063,RAU,2013-01-01 12:45:00,15,Near End,c247_00747_00032_7049.12,1+0,-,,,,0,-50.8,-50.2,0.0,0.0,,,,
SOEM-M,5063,RAU,2013-01-01 12:45:00,15,Near End,c247_00747_00032_7049.12,1+0,-,4.0,4.0,0.0,0,,,,,,,,
SOEM-M,5063,RAU,2013-01-01 13:00:00,15,Near End,c247_00747_00032_7049.12,1+0,-,,,,0,-50.8,-50.2,0.0,0.0,,,,
SOEM-M,5063,HC,2013-01-01 13:00:00,15,Near End,c247_00747_00032_7049.12,1+0,-,,,,0,,,,,0.0,0.0,0.0,0.0
SOEM-M,5063,RAU,2013-01-01 13:00:00,15,Near End,c247_00747_00032_7049.12,1+0,-,4.0,4.0,0.0,0,,,,,,,,
SOEM-M,5063,HC,2013-01-01 13:15:00,15,Near End,c247_00747_00032_7049.12,1+0,-,,,,0,,,,,0.0,0.0,0.0,0.0
SOEM-M,5063,RAU,2013-01-01 13:15:00,15,Near End,c247_00747_00032_7049.12,1+0,-,4.0,4.0,0.0,0,,,,,,,,
SOEM-M,5063,RAU,2013-01-01 13:15:00,15,Near End,c247_00747_00032_7049.12,1+0,-,,,,0,-50.8,-50.2,0.0,0.0,,,,
